lab_categoria,variable,pregunta,Codigo,sub_cat,Desglose,Porcentaje
En desacuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",4,Sexo,Otro,38.0
Totalmente en desacuerdo,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,clafec,"El personal de la sala o grupo fomenta un clima de afecto y buen trato con los niños (sonrisas, risas, miradas de afecto, entusiasmo, respeto)",99,Sexo,Otro,0.0
Totalmente de acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",1,Sexo,Mujer,50.0
De acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",2,Sexo,Mujer,38.0
Ni de acuerdo ni en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",3,Sexo,Mujer,7.0
En desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",4,Sexo,Mujer,2.0
Totalmente en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",5,Sexo,Mujer,1.0
NO SABE/NO RESPONDE,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",99,Sexo,Mujer,1.0
Totalmente de acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",1,Sexo,Hombre,48.0
De acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",2,Sexo,Hombre,40.0
Ni de acuerdo ni en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",3,Sexo,Hombre,7.0
En desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",4,Sexo,Hombre,3.0
Totalmente en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",5,Sexo,Hombre,1.0
NO SABE/NO RESPONDE,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",99,Sexo,Hombre,1.0
Totalmente de acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",1,Sexo,Otro,24.0
De acuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",2,Sexo,Otro,0.0
Ni de acuerdo ni en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",3,Sexo,Otro,38.0
En desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",4,Sexo,Otro,0.0
Totalmente en desacuerdo,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,entuaf,"He notado entusiasmo y afecto (contacto visual, sonrisa, dar los brazos) en el(la) niño(a) al ser recibido por el personal de su sala de atención o grupo",99,Sexo,Otro,0.0
Totalmente de acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,1,Sexo,Mujer,4.0
De acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,2,Sexo,Mujer,6.0
Ni de acuerdo ni en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,3,Sexo,Mujer,7.0
En desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,4,Sexo,Mujer,36.0
Totalmente en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,5,Sexo,Mujer,41.0
NO SABE/NO RESPONDE,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,99,Sexo,Mujer,6.0
Totalmente de acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,1,Sexo,Hombre,4.0
De acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,2,Sexo,Hombre,4.0
Ni de acuerdo ni en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,3,Sexo,Hombre,8.0
En desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,4,Sexo,Hombre,33.0
Totalmente en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,5,Sexo,Hombre,41.0
NO SABE/NO RESPONDE,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,99,Sexo,Hombre,9.0
Totalmente de acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,1,Sexo,Otro,0.0
De acuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,2,Sexo,Otro,38.0
Ni de acuerdo ni en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,3,Sexo,Otro,24.0
En desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,4,Sexo,Otro,0.0
Totalmente en desacuerdo,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,temied,El(la) niño(a) ha demostrado miedo o temor hacia alguna persona de la guardería en particular,99,Sexo,Otro,0.0
Totalmente de acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",1,Sexo,Mujer,51.0
De acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",2,Sexo,Mujer,38.0
Ni de acuerdo ni en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",3,Sexo,Mujer,5.0
En desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",4,Sexo,Mujer,3.0
Totalmente en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",5,Sexo,Mujer,1.0
NO SABE/NO RESPONDE,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",99,Sexo,Mujer,2.0
Totalmente de acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",1,Sexo,Hombre,52.0
De acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",2,Sexo,Hombre,39.0
Ni de acuerdo ni en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",3,Sexo,Hombre,4.0
En desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",4,Sexo,Hombre,2.0
Totalmente en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",5,Sexo,Hombre,2.0
NO SABE/NO RESPONDE,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",99,Sexo,Hombre,2.0
Totalmente de acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",1,Sexo,Otro,0.0
De acuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",2,Sexo,Otro,0.0
Ni de acuerdo ni en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",3,Sexo,Otro,24.0
En desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",4,Sexo,Otro,38.0
Totalmente en desacuerdo,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,traseg,"Cuando al (la) niño(a) le es difícil ingresar a la guardería, el personal que lo recibe intenta proporcionarle tranquilidad y seguridad",99,Sexo,Otro,0.0
Totalmente de acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,1,Sexo,Mujer,57.0
De acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,2,Sexo,Mujer,39.0
Ni de acuerdo ni en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,3,Sexo,Mujer,3.0
En desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,4,Sexo,Mujer,1.0
Totalmente en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,5,Sexo,Mujer,0.0
NO SABE/NO RESPONDE,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,99,Sexo,Mujer,1.0
Totalmente de acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,1,Sexo,Hombre,58.0
De acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,2,Sexo,Hombre,38.0
Ni de acuerdo ni en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,3,Sexo,Hombre,3.0
En desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,4,Sexo,Hombre,1.0
Totalmente en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,5,Sexo,Hombre,0.0
NO SABE/NO RESPONDE,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,99,Sexo,Hombre,0.0
Totalmente de acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,1,Sexo,Otro,0.0
De acuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,2,Sexo,Otro,61.0
Ni de acuerdo ni en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,3,Sexo,Otro,0.0
En desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,4,Sexo,Otro,0.0
Totalmente en desacuerdo,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,auton,Considero que las acciones pedagógicas que se llevan a cabo en las guarderías ayudan a que los(las) niños(as) logren gradualmente mayor autonomía,99,Sexo,Otro,0.0
Totalmente de acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",1,Sexo,Mujer,46.0
De acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",2,Sexo,Mujer,43.0
Ni de acuerdo ni en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",3,Sexo,Mujer,7.0
En desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",4,Sexo,Mujer,3.0
Totalmente en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",5,Sexo,Mujer,1.0
No aplica,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",97,Sexo,Mujer,1.0
NO SABE/NO RESPONDE,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",99,Sexo,Mujer,1.0
Totalmente de acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",1,Sexo,Hombre,50.0
De acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",2,Sexo,Hombre,40.0
Ni de acuerdo ni en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",3,Sexo,Hombre,6.0
En desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",4,Sexo,Hombre,2.0
Totalmente en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",5,Sexo,Hombre,1.0
No aplica,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",97,Sexo,Hombre,1.0
NO SABE/NO RESPONDE,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",99,Sexo,Hombre,1.0
Totalmente de acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",1,Sexo,Otro,0.0
De acuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",2,Sexo,Otro,0.0
Ni de acuerdo ni en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",3,Sexo,Otro,24.0
En desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",4,Sexo,Otro,38.0
Totalmente en desacuerdo,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",5,Sexo,Otro,39.0
No aplica,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",97,Sexo,Otro,0.0
NO SABE/NO RESPONDE,infond,"Tomando en cuenta la información que recibo diariamente a través de la “libreta de información sobre la atención de los niños”, considero que el personal de la guardería monitorea activamente la conducta de los(las) niños(as)",99,Sexo,Otro,0.0
Totalmente de acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,1,Sexo,Mujer,42.0
De acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,2,Sexo,Mujer,45.0
Ni de acuerdo ni en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,3,Sexo,Mujer,7.0
En desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,4,Sexo,Mujer,2.0
Totalmente en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,5,Sexo,Mujer,1.0
NO SABE/NO RESPONDE,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,99,Sexo,Mujer,3.0
Totalmente de acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,1,Sexo,Hombre,45.0
De acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,2,Sexo,Hombre,43.0
Ni de acuerdo ni en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,3,Sexo,Hombre,6.0
En desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,4,Sexo,Hombre,2.0
Totalmente en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,5,Sexo,Hombre,1.0
NO SABE/NO RESPONDE,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,99,Sexo,Hombre,4.0
Totalmente de acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,1,Sexo,Otro,0.0
De acuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,2,Sexo,Otro,61.0
Ni de acuerdo ni en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,3,Sexo,Otro,0.0
En desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,4,Sexo,Otro,0.0
Totalmente en desacuerdo,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,nocond,El personal de la sala de atención o grupo identifica y da seguimiento a los episodios de conductas no adecuadas para reducirlos o eliminarlos,99,Sexo,Otro,0.0
Sí,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",1,Sexo,Mujer,68.0
No,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",2,Sexo,Mujer,26.0
NO SABE/NO RESPONDE,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",99,Sexo,Mujer,6.0
Sí,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",1,Sexo,Hombre,64.0
No,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",2,Sexo,Hombre,29.0
NO SABE/NO RESPONDE,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",99,Sexo,Hombre,8.0
Sí,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",1,Sexo,Otro,61.0
No,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",2,Sexo,Otro,39.0
NO SABE/NO RESPONDE,presact,"Durante la estancia de su niño(a) en la guardería, ¿ha presenciado alguna actividad pedagógica en la guardería?",99,Sexo,Otro,0.0
Totalmente de acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),1,Sexo,Mujer,65.0
De acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),2,Sexo,Mujer,30.0
Ni de acuerdo ni en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),3,Sexo,Mujer,3.0
En desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),4,Sexo,Mujer,1.0
Totalmente en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),5,Sexo,Mujer,0.0
NO SABE/NO RESPONDE,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),99,Sexo,Mujer,2.0
Totalmente de acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),1,Sexo,Hombre,67.0
De acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),2,Sexo,Hombre,27.0
Ni de acuerdo ni en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),3,Sexo,Hombre,3.0
En desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),4,Sexo,Hombre,0.0
Totalmente en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),5,Sexo,Hombre,0.0
NO SABE/NO RESPONDE,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),99,Sexo,Hombre,2.0
Totalmente de acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),1,Sexo,Otro,38.0
De acuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),2,Sexo,Otro,24.0
Ni de acuerdo ni en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),3,Sexo,Otro,0.0
En desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),4,Sexo,Otro,0.0
Totalmente en desacuerdo,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,invact,El personal se involucra en las actividades con los(las) niños(as) (juega y platica con ellos),99,Sexo,Otro,0.0
Totalmente de acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,1,Sexo,Mujer,58.0
De acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,2,Sexo,Mujer,34.0
Ni de acuerdo ni en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,3,Sexo,Mujer,4.0
En desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,4,Sexo,Mujer,1.0
Totalmente en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,5,Sexo,Mujer,0.0
NO SABE/NO RESPONDE,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,99,Sexo,Mujer,3.0
Totalmente de acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,1,Sexo,Hombre,58.0
De acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,2,Sexo,Hombre,35.0
Ni de acuerdo ni en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,3,Sexo,Hombre,4.0
En desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,4,Sexo,Hombre,1.0
Totalmente en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,5,Sexo,Hombre,0.0
NO SABE/NO RESPONDE,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,99,Sexo,Hombre,3.0
Totalmente de acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,1,Sexo,Otro,38.0
De acuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,2,Sexo,Otro,24.0
Ni de acuerdo ni en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,3,Sexo,Otro,0.0
En desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,4,Sexo,Otro,0.0
Totalmente en desacuerdo,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,5,Sexo,Otro,39.0
NO SABE/NO RESPONDE,habides,El material que se encuentra en la sala de atención o grupo permite al (la) niño(a) desarrollar habilidades y destrezas,99,Sexo,Otro,0.0
Totalmente de acuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,1,Sexo,Mujer,58.0
De acuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,2,Sexo,Mujer,35.0
Ni de acuerdo ni en desacuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,3,Sexo,Mujer,3.0
En desacuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,4,Sexo,Mujer,1.0
Totalmente en desacuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,5,Sexo,Mujer,0.0
NO SABE/NO RESPONDE,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,99,Sexo,Mujer,3.0
Totalmente de acuerdo,paractiv,Los(las) niños(as) participan activa y constantemente en las actividades y rutinas,1,Sexo,Hombre,58.0
